,frameNUM_veh,objectID_veh,p1x_veh,p1y_veh,p2x_veh,p2y_veh,bx_veh,by_veh,cx_veh,cy_veh,type_veh,zone_veh,course_veh,lostCounter_veh,key,frameNUM_ped,objectID_ped,p1x_ped,p1y_ped,p2x_ped,p2y_ped,bx_ped,by_ped,cx_ped,cy_ped,type_ped,zone_ped,course_ped,lostCounter_ped,distance,ped_veh_overlap,ped_veh_buffer_intersect,pet,intersection,video_name,sub_id
73,545,35,536,295,590,334,563,314,563,334,2,5,999,0,0,489,27,571,266,593,324,582,295,582,324,0,5,200.5560452,1,21.47091055,1,1,1.866666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,21
74,597,39,556,281,614,323,585,302,585,323,2,5,243.4349488,0,0,491,27,572,267,593,322,582,294,582,322,0,5,200.5560452,3,3.16227766,1,1,3.533333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,21
75,475,27,562,292,606,319,584,305,584,319,2,5,198.4349488,1,0,545,33,573,264,593,317,583,290,583,317,0,5,249.4439548,0,2.236067977,1,1,-2.333333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,21
76,482,29,534,304,586,329,560,316,560,329,2,5,999,0,0,549,33,571,265,590,323,580,294,580,323,0,5,225,2,20.88061302,1,1,-2.233333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,21
77,540,33,558,291,606,323,582,307,582,323,2,5,270,0,0,546,33,572,264,592,322,582,293,582,322,0,5,25.34617594,0,1,1,1,-0.2,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,21
78,545,35,536,295,590,334,563,314,563,334,2,5,999,0,0,549,33,571,265,590,323,580,294,580,323,0,5,225,2,20.24845673,1,1,-0.133333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,21
79,597,39,556,281,614,323,585,302,585,323,2,5,243.4349488,0,0,544,33,573,264,597,322,585,293,585,322,0,5,249.4439548,0,1,1,1,1.766666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,21
80,670,45,554,280,614,324,584,302,584,324,2,5,233.1301024,0,0,544,33,573,264,597,322,585,293,585,322,0,5,249.4439548,0,2.236067977,1,1,4.2,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,21
81,956,43,655,454,736,528,695,491,695,528,2,5,14.03624347,0,0,969,53,642,451,679,520,660,485,660,520,0,5,11.30993247,5,35.90264614,1,1,-0.433333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,0
82,867,45,591,362,761,524,676,443,676,524,7,5,336.8014095,0,0,969,53,642,451,679,520,660,485,660,520,0,5,11.30993247,5,16.4924225,1,1,-3.4,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,0
